node_id,node_type,label,org_slug,jurisdiction,tax_id,city,region,source_system,source_ref,assets_latest,assets_year,first_name,last_name,org_type,source_app
org:the-joyce-foundation,organization,The Joyce Foundation,the-joyce-foundation,US,36-6079185,,,IRS_990,36-6079185,,2023,,,,orggraph_us
org:fund-for-lake-michigan-inc,organization,FUND FOR LAKE MICHIGAN INC,fund-for-lake-michigan-inc,US,87-4340021,,,IRS_990,87-4340021,,2024,,,,orggraph_us
org:crown-family-foundation,organization,CROWN FAMILY FOUNDATION,crown-family-foundation,US,36-3330462,,,IRS_990,36-3330462,,2023,,,,orggraph_us
org:charles-stewart-mott-foundation,organization,CHARLES STEWART MOTT FOUNDATION,charles-stewart-mott-foundation,US,38-1211227,,,IRS_990,38-1211227,,2023,,,,orggraph_us
org:community-foundation-for-greater-buffalo,organization,COMMUNITY FOUNDATION FOR GREATER BUFFALO,community-foundation-for-greater-buffalo,US,22-2743917,,,IRS_990,22-2743917,,2023,,,,orggraph_us
org:rochester-area-community-foundation,organization,ROCHESTER AREA COMMUNITY FOUNDATION,rochester-area-community-foundation,US,23-7250641,,,IRS_990,23-7250641,,2023,,,,orggraph_us
org:national-fish-and-wildlife-foundation,organization,NATIONAL FISH AND WILDLIFE FOUNDATION,national-fish-and-wildlife-foundation,US,52-1384139,,,IRS_990,52-1384139,,2023,,,,orggraph_us
org:bay-area-community-foundation,organization,BAY AREA COMMUNITY FOUNDATION,bay-area-community-foundation,US,38-2418086,,,IRS_990,38-2418086,,2024,,,,orggraph_us
org:astor-street-foundation-inc,organization,Astor Street Foundation Inc,astor-street-foundation-inc,US,39-1656190,,,IRS_990,39-1656190,,2024,,,,orggraph_us
org:the-brookby-foundation,organization,The Brookby Foundation,the-brookby-foundation,US,38-3202330,,,IRS_990,38-3202330,,2023,,,,orggraph_us
org:community-foundation-of-lorain-county,organization,COMMUNITY FOUNDATION OF LORAIN COUNTY,community-foundation-of-lorain-county,US,34-1322781,,,IRS_990,34-1322781,,2023,,,,orggraph_us
org:the-fred-a-and-barbara-m-erb-family,organization,THE FRED A & BARBARA M ERB FAMILY,the-fred-a-and-barbara-m-erb-family,US,20-5966333,,,IRS_990,20-5966333,,2023,,,,orggraph_us
org:toledo-community-foundation-inc,organization,TOLEDO COMMUNITY FOUNDATION INC,toledo-community-foundation-inc,US,23-7284004,,,IRS_990,23-7284004,,2023,,,,orggraph_us
org:mcdougal-family-foundation,organization,MCDOUGAL FAMILY FOUNDATION,mcdougal-family-foundation,US,36-3943431,,,IRS_990,36-3943431,,2023,,,,orggraph_us
org:porter-family-foundation-inc,organization,PORTER FAMILY FOUNDATION INC,porter-family-foundation-inc,US,31-1144513,,,IRS_990,31-1144513,,2024,,,,orggraph_us
org:the-sears-swetland-family-foundation,organization,THE SEARS SWETLAND FAMILY FOUNDATION,the-sears-swetland-family-foundation,US,34-6522143,,,IRS_990,34-6522143,,2024,,,,orggraph_us
org:grantee-21cp-foundation-nfp-il,organization,21CP Foundation NFP,grantee-21cp-foundation-nfp-il,US,,Springfield,IL,IRS_990,,,,,,,orggraph_us
org:grantee-21cp-solutions-llc-il,organization,21CP Solutions LLC,grantee-21cp-solutions-llc-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-365-media-foundation-inc-wi,organization,365 Media Foundation Inc,grantee-365-media-foundation-inc-wi,US,,Madison,WI,IRS_990,,,,,,,orggraph_us
org:grantee-3arts-inc-il,organization,3Arts Inc,grantee-3arts-inc-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-a-better-chance-inc-ny,organization,A Better Chance Inc,grantee-a-better-chance-inc-ny,US,,New York,NY,IRS_990,,,,,,,orggraph_us
org:grantee-a-better-chicago-il,organization,A Better Chicago,grantee-a-better-chicago-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-access-mi,organization,ACCESS,grantee-access-mi,US,,Dearborn,MI,IRS_990,,,,,,,orggraph_us
org:grantee-access-living-of-metropolitan-chicago-il,organization,Access Living of Metropolitan Chicago,grantee-access-living-of-metropolitan-chicago-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-advance-illinois-il,organization,Advance Illinois,grantee-advance-illinois-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-advertising-council-inc-ny,organization,Advertising Council Inc,grantee-advertising-council-inc-ny,US,,New York,NY,IRS_990,,,,,,,orggraph_us
org:grantee-alliance-for-the-great-lakes-il,organization,Alliance for the Great Lakes,grantee-alliance-for-the-great-lakes-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-american-academy-of-pediatrics-il,organization,American Academy of Pediatrics,grantee-american-academy-of-pediatrics-il,US,,Itasca,IL,IRS_990,,,,,,,orggraph_us
org:grantee-american-civil-liberties-union-fund-of-michigan-mi,organization,American Civil Liberties Union Fund of Michigan,grantee-american-civil-liberties-union-fund-of-michigan-mi,US,,Detroit,MI,IRS_990,,,,,,,orggraph_us
org:grantee-anti-defamation-league-ny,organization,Anti-Defamation League,grantee-anti-defamation-league-ny,US,,New York,NY,IRS_990,,,,,,,orggraph_us
org:grantee-artadia-ny,organization,Artadia,grantee-artadia-ny,US,,Brooklyn,NY,IRS_990,,,,,,,orggraph_us
org:grantee-asian-americans-advancing-justice-chicago-il,organization,Asian Americans Advancing Justice - Chicago,grantee-asian-americans-advancing-justice-chicago-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-asian-improv-arts-midwest-il,organization,Asian Improv Arts Midwest,grantee-asian-improv-arts-midwest-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-asset-funders-network-il,organization,Asset Funders Network,grantee-asset-funders-network-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-auburn-advisors-llc-ny,organization,Auburn Advisors LLC,grantee-auburn-advisors-llc-ny,US,,New York,NY,IRS_990,,,,,,,orggraph_us
org:grantee-black-ensemble-theater-corporation-il,organization,Black Ensemble Theater Corporation,grantee-black-ensemble-theater-corporation-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-black-researchers-collective-il,organization,Black Researchers Collective,grantee-black-researchers-collective-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-blackroots-alliance-il,organization,Blackroots Alliance,grantee-blackroots-alliance-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-block-club-chicago-il,organization,Block Club Chicago,grantee-block-club-chicago-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-bright-star-community-outreach-corporation-il,organization,Bright Star Community Outreach Corporation,grantee-bright-star-community-outreach-corporation-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-cabrini-green-legal-aid-il,organization,Cabrini Green Legal Aid,grantee-cabrini-green-legal-aid-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-candid-ny,organization,Candid,grantee-candid-ny,US,,New York,NY,IRS_990,,,,,,,orggraph_us
org:grantee-capital-b-news-inc-ny,organization,Capital B News Inc,grantee-capital-b-news-inc-ny,US,,New York,NY,IRS_990,,,,,,,orggraph_us
org:grantee-casa-central-il,organization,Casa Central,grantee-casa-central-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-catholic-charities-of-the-archdiocese-of-chicago-il,organization,Catholic Charities of the Archdiocese of Chicago,grantee-catholic-charities-of-the-archdiocese-of-chicago-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-center-for-neighborhood-technology-il,organization,Center for Neighborhood Technology,grantee-center-for-neighborhood-technology-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-center-for-technology-and-civic-life-il,organization,Center for Technology and Civic Life,grantee-center-for-technology-and-civic-life-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-cglr-foundation-oh,organization,CGLR Foundation,grantee-cglr-foundation-oh,US,,Cleveland,OH,IRS_990,,,,,,,orggraph_us
org:grantee-change-illinois-il,organization,CHANGE Illinois,grantee-change-illinois-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-chicago-adventure-therapy-nfp-il,organization,Chicago Adventure Therapy NFP,grantee-chicago-adventure-therapy-nfp-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-chicago-architecture-biennial-inc-il,organization,Chicago Architecture Biennial Inc,grantee-chicago-architecture-biennial-inc-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-chicago-community-foundation-il,organization,Chicago Community Foundation,grantee-chicago-community-foundation-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-chicago-community-trust-il,organization,Chicago Community Trust,grantee-chicago-community-trust-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
org:grantee-chicago-latino-theater-alliance-il,organization,Chicago Latino Theater Alliance,grantee-chicago-latino-theater-alliance-il,US,,Chicago,IL,IRS_990,,,,,,,orggraph_us
